492	E70004	subs.m.pl.a	god [pl.]
493	E70023	conj	that
494	E70024	verb.qal.perf.p3.m.sg	[he]+ be good
495	E70008	conj	and
496	E70020	verb.qal.wayq.p3.m.sg	[he]+ say
497	E70004	subs.m.pl.a	god [pl.]
498	E70036	verb.qal.impf.p1.u.pl	[we]+ make
499	E70090	subs.m.sg.a	human, mankind
500	E70001	prep	in
501	E70091	subs.m.sg.a＊.prs.p1.u.pl	+[our] image
502	E70092	prep	as
503	E70093	subs.f.sg.a＊.prs.p1.u.pl	+[our] likeness
504	E70008	conj	and
505	E70094	verb.qal.impf.p3.m.pl	[they]+ tread, to rule
506	E70001	prep	in
507	E70095	subs.f.sg.c	fish
508	E70006	art	the
509	E70047	subs.m.sg.a	sea
510	E70008	conj	and
511	E70001	prep	in
512	E70075	subs.m.sg.c	birds
513	E70006	art	the
514	E70007	subs.m.pl.a	heavens
515	E70008	conj	and
516	E70001	prep	in
517	E70006	art	the
518	E70086	subs.f.sg.a	cattle
519	E70008	conj	and
520	E70001	prep	in
521	E70078	subs.m.sg.c	whole
522	E70006	art	the
523	E70009	subs.u.sg.a	earth
524	E70008	conj	and
525	E70001	prep	in
526	E70078	subs.m.sg.c	whole
527	E70006	art	the
528	E70087	subs.m.sg.a	creeping animals
529	E70006	conj	the
530	E70079	verb.qal.ptca.u.m.sg.a	creep
531	E70014	prep	upon
532	E70006	art	the
533	E70009	subs.u.sg.a	earth
534	E70008	conj	and
535	E70003	verb.qal.wayq.p3.m.sg	[he]+ create
536	E70004	subs.m.pl.a	god [pl.]
537	E70005	prep	[object marker]
538	E70006	art	the
539	E70090	subs.m.sg.a	human, mankind
540	E70001	prep	in
541	E70091	subs.m.sg.a＊.prs.p3.m.sg	+[his] image
542	E70001	prep	in
543	E70091	subs.m.sg.c	image
544	E70004	subs.m.pl.a	god [pl.]
545	E70003	verb.qal.perf.p3.m.sg	[he]+ create
546	E70005	prep＊.prs.p3.m.sg	[object marker] +[him]
547	E70096	adjv.m.sg.a	male
548	E70008	conj	and
549	E70097	adjv.f.sg.a	female
550	E70003	verb.qal.perf.p3.m.sg	[he]+ create
551	E70005	prep＊.prs.p3.m.pl	[object marker] +[them]
552	E70008	conj	and
553	E70081	verb.piel.wayq.p3.m.sg	[he]+ bless
554	E70005	prep＊.prs.p3.m.pl	[object marker] +[them]
555	E70004	subs.m.pl.a	god [pl.]
556	E70008	conj	and
557	E70020	verb.qal.wayq.p3.m.sg	[he]+ say
558	E70028	prep＊.prs.p3.m.pl	to +[them]
559	E70004	subs.m.pl.a	god [pl.]
560	E70082	verb.qal.impv.p2.m.pl	[you]+ be fertile
561	E70008	conj	and
562	E70083	verb.qal.impv.p2.m.pl	[you]+ be many
563	E70008	conj	and
564	E70084	verb.qal.impv.p2.m.pl	[you]+ be full
565	E70005	prep	[object marker]
566	E70006	art	the
567	E70009	subs.u.sg.a	earth
