L700054	Ἀβιά	abia [aviya]	Np [Proper Noun]	Abia; Avia	<a href='S:G7'><grk>Ἀβιά</grk></a>; <big>אֲבִיָּה</big>&#x200E;<hr><grk>Αβια</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβια</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβια</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβια</grk>｜<font color='4'>N.NSF</font>｜<i>noun, Nom Sing Fem</i><br><grk>Αβια</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700055	Ἀβιάθαρ	abiathar [aviyaθar]	Np [Proper Noun]	Abiathar; Aviathar	<a href='S:G8'><grk>Ἀβιαθάρ</grk></a>; <big>אֶבְיָתָר</big>&#x200E;<hr><grk>Αβιαθαρ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβιαθαρ</grk>｜<font color='4'>N.ASN</font>｜<i>noun, Acc Sing Neut</i><br><grk>Αβιαθαρ</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβιαθαρ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβιαθαρ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700056	Αβιασαφ	abiasaph [aviyasaf]	Np [Proper Noun]	Abiasaph; Aviasaf	<grk>Αβιασαφ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβιασαφ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700057	Αβιγαια	abigaia [aviyyea]	Np [Proper Noun]	Abigaia; Aviyea	<grk>Αβιγαια</grk>｜<font color='4'>N.DSF</font>｜<i>noun, Dat Sing Fem</i><br><grk>Αβιγαια</grk>｜<font color='4'>N.NSF</font>｜<i>noun, Nom Sing Fem</i><br><grk>Αβιγαια</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700058	Αβιγαιαν	abigaian [aviyyean]	Np [Proper Noun]	Abigaian; Aviyean	<grk>Αβιγαιαν</grk>｜<font color='4'>N.ASF</font>｜<i>noun, Acc Sing Fem</i>
L700059	Αβιγαιας	abigaias [aviyyeas]	Np [Proper Noun]	Abigaias; Aviyeas	<grk>Αβιγαιας</grk>｜<font color='4'>N.GSF</font>｜<i>noun, Gen Sing Fem</i>
L700060	Αβιδα	abida [aviyða]	Np [Proper Noun]	Abida; Avitha	<grk>Αβιδα</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700061	Αβιδαν	abidan [aviyðan]	Np [Proper Noun]	Abidan; Avithan	<grk>Αβιδαν</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβιδαν</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700062	Αβιεζεκ	abiezek [aviyezek]	Np [Proper Noun]	Abiezek; Aviezek	<grk>Αβιεζεκ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700063	Αβιεζερ	abiezer [aviyezer]	Np [Proper Noun]	Abiezer; Aviezer	<grk>Αβιεζερ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβιεζερ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβιεζερ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
