mappingSort	KJVverseID	WLCsort	BHSsort
786	59	1393	1230
787	59	1394	1231
788	60	1405	1233
789	60	1406	1235
790	60	1407	1236
791	60	1408	1238
792	60	1409	1239
793	60	1410	1240
794	60	1411	1241
795	61	1422	1242
796	61	1423	1243
797	61	1424	1244
798	61	1425	1245
799	61	1426	1247
800	61	1427	1248
801	61	1429	1251
802	61	1430	1252
803	61	1431	1254
804	61	1432	1256
805	61	1433	1257
806	61	1434	1258
807	61	1435	1260
808	62	1446	1262
809	62	1447	1264
810	62	1448	1265
811	62	1449	1266
812	62	1450	1268
813	62	1451	1270
814	62	1452	1272
815	62	1453	1273
816	62	1454	1274
817	62	1455	1277
818	62	1456	1279
819	62	1457	1281
820	62	1458	1283
821	62	1459	1285
822	62	1460	1287
823	62	1461	1289
824	62	1462	1291
825	62	1463	1292
826	62	1464	1294
827	62	1465	1295
828	62	1466	1297
829	63	1477	1299
830	63	1478	1300
831	63	1479	1301
832	63	1480	1303
833	63	1481	1304
834	63	1482	1305
835	63	1483	1306
836	63	1484	1308
837	63	1485	1309
838	63	1486	1310
839	63	1487	1312
840	63	1489	1314
841	64	1500	1316
842	64	1501	1317
843	64	1502	1318
844	64	1503	1319
845	64	1504	1320
846	64	1505	1321
847	64	1506	1324
848	64	1507	1326
849	64	1508	1328
850	64	1509	1330
851	64	1510	1332
852	64	1511	1334
853	64	1512	1336
854	64	1513	1337
855	64	1514	1338
856	64	1515	1340
857	64	1516	1341
858	64	1517	1343
859	65	1528	1345
860	65	1529	1346
861	65	1530	1347
862	65	1531	1348
863	65	1532	1350
864	65	1533	1352
865	65	1535	1354
866	66	1546	1356
867	66	1547	1357
868	66	1548	1358
869	66	1549	1359
870	66	1550	1362
871	66	1551	1364
872	66	1552	1365
873	66	1553	1366
874	66	1554	1367
875	66	1555	1369
876	67	1566	1371
877	67	1567	1372
878	67	1568	1373
879	67	1570	1375
880	67	1571	1376
881	67	1572	1377
882	67	1574	1381
883	67	1575	1382
884	67	1576	1383
885	67	1577	1385
886	67	1578	1386
887	67	1580	1388
888	68	1591	1390
889	68	1592	1392
890	68	1593	1394
891	68	1594	1395
892	68	1595	1396
893	68	1596	1397
894	68	1597	1398
895	68	1598	1399
896	68	1601	1403
897	68	1602	1405
898	69	1613	1407
899	69	1614	1408
900	69	1615	1409
901	69	1616	1412
902	69	1617	1413
903	69	1618	1414
904	69	1619	1415
905	69	1620	1417
906	69	1621	1419
907	69	1622	1421
908	69	1623	1422
909	69	1624	1424
910	70	1635	1426
911	70	1636	1427
912	70	1637	1428
913	70	1638	1429
914	70	1639	1431
915	70	1640	1432
916	70	1641	1433
917	70	1642	1434
918	70	1643	1435
919	70	1644	1436
920	70	1645	1438
921	70	1646	1440
922	70	1647	1443
923	70	1648	1444
924	70	1649	1446
925	70	1650	1447
926	70	1651	1448
927	70	1652	1449
928	70	1653	1451
929	70	1654	1452
930	70	1655	1453
931	70	1656	1454
932	70	1657	1455
933	71	1668	1457
934	71	1669	1458
935	71	1670	1459
936	71	1671	1461
937	71	1672	1463
938	71	1673	1465
939	71	1674	1466
940	71	1675	1468
941	71	1676	1469
942	71	1677	1470
943	71	1678	1471
944	71	1679	1472
945	71	1680	1474
946	71	1681	1475
947	71	1682	1476
948	72	1694	1477
949	72	1695	1479
950	72	1696	1480
951	72	1697	1481
952	72	1698	1482
953	72	1699	1483
954	72	1700	1485
955	72	1701	1487
956	72	1702	1488
957	72	1703	1489
958	72	1704	1491
959	72	1705	1492
960	72	1706	1493
961	72	1707	1495
962	72	1708	1496
963	73	1721	1500
964	73	1722	1501
965	73	1723	1502
966	73	1724	1503
967	73	1725	1505
968	73	1726	1506
969	73	1727	1508
970	73	1729	1511
971	73	1730	1512
972	73	1731	1513
973	73	1732	1515
974	73	1733	1516
975	73	1734	1517
976	73	1736	1519
977	73	1737	1521
978	73	1738	1523
979	73	1739	1525
980	73	1740	1526
981	73	1741	1527
982	73	1742	1528
983	73	1743	1529
984	74	1754	1531
985	74	1755	1533
986	74	1756	1534
987	74	1758	1537
988	74	1759	1538
989	74	1760	1539
990	74	1761	1541
991	75	1772	1543
992	75	1773	1544
993	75	1774	1545
994	75	1775	1546
995	75	1776	1547
996	75	1777	1548
997	75	1778	1549
998	75	1779	1551
999	75	1780	1552
1000	75	1782	1554
1001	75	1783	1555
1002	75	1784	1556
1003	75	1785	1557
1004	75	1786	1559
1005	75	1787	1560
1006	75	1788	1561
1007	76	1799	1563
1008	76	1800	1565
1009	76	1801	1566
1010	76	1802	1567
1011	76	1803	1568
1012	76	1804	1569
1013	76	1805	1570
1014	76	1806	1571
1015	76	1807	1572
1016	76	1808	1573
1017	76	1809	1574
1018	77	1820	1576
1019	77	1821	1577
1020	77	1822	1578
1021	77	1823	1580
1022	77	1824	1583
1023	77	1825	1584
1024	77	1826	1585
1025	77	1827	1587
1026	78	1839	1589
1027	78	1840	1590
1028	78	1841	1591
1029	78	1842	1592
1030	78	1843	1594
1031	78	1844	1595
1032	78	1845	1597
1033	78	1847	1600
1034	78	1848	1601
1035	78	1849	1603
1036	78	1850	1605
1037	78	1851	1606
1038	78	1852	1607
1039	78	1853	1608
1040	78	1854	1610
1041	78	1855	1611
1042	78	1856	1613
1043	78	1857	1615
1044	78	1858	1617
1045	78	1859	1619
1046	78	1860	1621
1047	79	1871	1623
1048	79	1872	1624
1049	79	1873	1625
1050	79	1874	1627
1051	79	1875	1628
1052	79	1876	1630
1053	79	1877	1631
1054	79	1878	1633
1055	79	1879	1634
1056	79	1880	1635
1057	79	1881	1637
1058	80	1892	1639
1059	80	1893	1640
1060	80	1894	1642
1061	80	1895	1644
1062	80	1896	1646
1063	80	1897	1648
1064	80	1898	1649
1065	80	1899	1650
1066	80	1900	1652
1067	80	1901	1654
1068	80	1902	1655
1069	80	1903	1657
1070	80	1904	1659
1071	80	1905	1661
1072	80	1906	1662
1073	80	1907	1663
1074	80	1908	1664
1075	80	1909	1666
1076	81	1921	1669
1077	81	1922	1670
1078	81	1923	1671
1079	81	1924	1672
1080	81	1925	1673
1081	81	1926	1675
1082	81	1927	1677
1083	81	1928	1678
1084	81	1929	1679
1085	81	1930	1681
1086	81	1931	1682
1087	81	1932	1683
1088	81	1933	1684
1089	81	1934	1685
1090	82	1945	1687
1091	82	1946	1689
1092	82	1947	1690
1093	82	1948	1691
1094	82	1949	1692
1095	82	1950	1693
1096	82	1951	1695
1097	82	1952	1696
1098	82	1953	1697
1099	82	1954	1698
1100	82	1955	1700
1101	82	1956	1701
1102	82	1957	1702
1103	82	1958	1703
1104	83	1969	1705
1105	83	1970	1707
1106	83	1971	1708
1107	83	1972	1710
1108	83	1973	1711
1109	83	1974	1713
1110	83	1975	1715
1111	83	1976	1716
1112	83	1977	1718
1113	84	1988	1720
1114	84	1989	1721
1115	84	1990	1722
1116	84	1991	1723
1117	84	1992	1725
1118	84	1993	1726
1119	84	1994	1729
1120	84	1995	1731
1121	84	1996	1732
1122	84	1997	1733
1123	84	1998	1734
1124	84	1999	1736
1125	84	2000	1737
1126	85	2011	1739
1127	85	2012	1740
1128	85	2013	1742
1129	85	2014	1743
1130	85	2015	1744
1131	85	2016	1745
1132	85	2017	1747
1133	85	2018	1749
1134	85	2019	1750
1135	85	2020	1752
1136	85	2021	1753
1137	86	2032	1755
1138	86	2033	1756
1139	86	2034	1757
1140	86	2035	1758
1141	86	2036	1759
1142	86	2037	1760
1143	86	2039	1763
1144	86	2040	1764
1145	86	2041	1765
1146	87	2052	1767
1147	87	2053	1768
1148	87	2054	1769
1149	87	2055	1770
1150	87	2056	1772
1151	87	2057	1773
