G1161	CONJ	｛40.1.14｜40.1.14｝
G1080	V-AAI-3S	｛40.1.14｜40.1.14｝
G3588	T-ASM	｛40.1.14｜40.1.14｝
G4524	N-ASM-P	｛40.1.14｜40.1.14｝
G4524	N-NSM-P	｛40.1.14｜40.1.14｝
G1161	CONJ	｛40.1.14｜40.1.14｝
G1080	V-AAI-3S	｛40.1.14｜40.1.14｝
G3588	T-ASM	｛40.1.14｜40.1.14｝
G885	N-ASM-P	｛40.1.14｜40.1.14｝
G885	N-NSM-P	｛40.1.14｜40.1.14｝
G1161	CONJ	｛40.1.14｜40.1.14｝
G1080	V-AAI-3S	｛40.1.14｜40.1.14｝
G3588	T-ASM	｛40.1.14｜40.1.14｝
G1664	N-ASM-P	｛40.1.14｜40.1.14｝
G1664	N-NSM-P	｛40.1.15｜40.1.15｝
G1161	CONJ	｛40.1.15｜40.1.15｝
G1080	V-AAI-3S	｛40.1.15｜40.1.15｝
G3588	T-ASM	｛40.1.15｜40.1.15｝
G1648	N-ASM-P	｛40.1.15｜40.1.15｝
G1648	N-NSM-P	｛40.1.15｜40.1.15｝
G1161	CONJ	｛40.1.15｜40.1.15｝
G1080	V-AAI-3S	｛40.1.15｜40.1.15｝
G3588	T-ASM	｛40.1.15｜40.1.15｝
G3157	N-ASM-P	｛40.1.15｜40.1.15｝
G3157	N-NSM-P	｛40.1.15｜40.1.15｝
G1161	CONJ	｛40.1.15｜40.1.15｝
G1080	V-AAI-3S	｛40.1.15｜40.1.15｝
G3588	T-ASM	｛40.1.15｜40.1.15｝
G2384	N-ASM-P	｛40.1.15｜40.1.15｝
G2384	N-NSM-P	｛40.1.16｜40.1.16｝
G1161	CONJ	｛40.1.16｜40.1.16｝
G1080	V-AAI-3S	｛40.1.16｜40.1.16｝
G3588	T-ASM	｛40.1.16｜40.1.16｝
G2501	N-ASM-P	｛40.1.16｜40.1.16｝
G3588	T-ASM	｛40.1.16｜40.1.16｝
G435	N-ASM	｛40.1.16｜40.1.16｝
G3137	N-GSF-P	｛40.1.16｜40.1.16｝
G1537	PREP	｛40.1.16｜40.1.16｝
