000235	〔40｜1｜16〕	τὸν
000236	〔40｜1｜16〕	Ἰωσὴφ
000237	〔40｜1｜16〕	τὸν
000238	〔40｜1｜16〕	ἄνδρα
000239	〔40｜1｜16〕	Μαρίας
000240	〔40｜1｜16〕	ἐξ
000241	〔40｜1｜16〕	ἧς
000242	〔40｜1｜16〕	ἐγεννήθη
000243	〔40｜1｜16〕	Ἰησοῦς
000244	〔40｜1｜16〕	ὁ
000245	〔40｜1｜16〕	λεγόμενος
000246	〔40｜1｜16〕	Χριστός
000247	〔40｜1｜17〕	Πᾶσαι
000248	〔40｜1｜17〕	οὖν
000249	〔40｜1｜17〕	αἱ
000250	〔40｜1｜17〕	γενεαὶ
000251	〔40｜1｜17〕	ἀπὸ
000252	〔40｜1｜17〕	Ἀβραὰμ
000253	〔40｜1｜17〕	ἕως
000254	〔40｜1｜17〕	Δαυὶδ
000255	〔40｜1｜17〕	γενεαὶ
000256	〔40｜1｜17〕	δεκατέσσαρες
000257	〔40｜1｜17〕	καὶ
000258	〔40｜1｜17〕	ἀπὸ
000259	〔40｜1｜17〕	Δαυὶδ
000260	〔40｜1｜17〕	ἕως
000261	〔40｜1｜17〕	τῆς
000262	〔40｜1｜17〕	μετοικεσίας
000263	〔40｜1｜17〕	Βαβυλῶνος
000264	〔40｜1｜17〕	γενεαὶ
000265	〔40｜1｜17〕	δεκατέσσαρες
000266	〔40｜1｜17〕	καὶ
000267	〔40｜1｜17〕	ἀπὸ
000268	〔40｜1｜17〕	τῆς
000269	〔40｜1｜17〕	μετοικεσίας
000270	〔40｜1｜17〕	Βαβυλῶνος
000271	〔40｜1｜17〕	ἕως
000272	〔40｜1｜17〕	τοῦ
000273	〔40｜1｜17〕	Χριστοῦ
000274	〔40｜1｜17〕	γενεαὶ
000275	〔40｜1｜17〕	δεκατέσσαρες
000276	〔40｜1｜18〕	Τοῦ
000277	〔40｜1｜18〕	δὲ
000278	〔40｜1｜18〕	Ἰησοῦ
000279	〔40｜1｜18〕	Χριστοῦ
000280	〔40｜1｜18〕	ἡ
000281	〔40｜1｜18〕	γένεσις
000282	〔40｜1｜18〕	οὕτως
000283	〔40｜1｜18〕	ἦν
000284	〔40｜1｜18〕	μνηστευθείσης
000285	〔40｜1｜18〕	τῆς
000286	〔40｜1｜18〕	μητρὸς
000287	〔40｜1｜18〕	αὐτοῦ
000288	〔40｜1｜18〕	Μαρίας
000289	〔40｜1｜18〕	τῷ
000290	〔40｜1｜18〕	Ἰωσήφ
000291	〔40｜1｜18〕	πρὶν
000292	〔40｜1｜18〕	ἢ
000293	〔40｜1｜18〕	συνελθεῖν
000294	〔40｜1｜18〕	αὐτοὺς
000295	〔40｜1｜18〕	εὑρέθη
000296	〔40｜1｜18〕	ἐν
000297	〔40｜1｜18〕	γαστρὶ
000298	〔40｜1｜18〕	ἔχουσα
000299	〔40｜1｜18〕	ἐκ
000300	〔40｜1｜18〕	πνεύματος
000301	〔40｜1｜18〕	ἁγίου
000302	〔40｜1｜19〕	Ἰωσὴφ
000303	〔40｜1｜19〕	δὲ
000304	〔40｜1｜19〕	ὁ
000305	〔40｜1｜19〕	ἀνὴρ
000306	〔40｜1｜19〕	αὐτῆς
000307	〔40｜1｜19〕	δίκαιος
000308	〔40｜1｜19〕	ὢν
000309	〔40｜1｜19〕	καὶ
000310	〔40｜1｜19〕	μὴ
000311	〔40｜1｜19〕	θέλων
000312	〔40｜1｜19〕	αὐτὴν
000313	〔40｜1｜19〕	δειγματίσαι
000314	〔40｜1｜19〕	ἐβουλήθη
000315	〔40｜1｜19〕	λάθρᾳ
000316	〔40｜1｜19〕	ἀπολῦσαι
000317	〔40｜1｜19〕	αὐτήν
000318	〔40｜1｜20〕	Ταῦτα
000319	〔40｜1｜20〕	δὲ
000320	〔40｜1｜20〕	αὐτοῦ
000321	〔40｜1｜20〕	ἐνθυμηθέντος
000322	〔40｜1｜20〕	ἰδοὺ
000323	〔40｜1｜20〕	ἄγγελος
000324	〔40｜1｜20〕	Κυρίου
000325	〔40｜1｜20〕	κατ᾽
000326	〔40｜1｜20〕	ὄναρ
000327	〔40｜1｜20〕	ἐφάνη
000328	〔40｜1｜20〕	αὐτῷ
000329	〔40｜1｜20〕	λέγων
000330	〔40｜1｜20〕	Ἰωσὴφ
000331	〔40｜1｜20〕	υἱὸς
000332	〔40｜1｜20〕	Δαυίδ
000333	〔40｜1｜20〕	μὴ
000334	〔40｜1｜20〕	φοβηθῇς
000335	〔40｜1｜20〕	παραλαβεῖν
000336	〔40｜1｜20〕	Μαρίαν
000337	〔40｜1｜20〕	τὴν
000338	〔40｜1｜20〕	γυναῖκά
000339	〔40｜1｜20〕	σου
000340	〔40｜1｜20〕	τὸ
000341	〔40｜1｜20〕	γὰρ
000342	〔40｜1｜20〕	ἐν
000343	〔40｜1｜20〕	αὐτῇ
000344	〔40｜1｜20〕	γεννηθὲν
000345	〔40｜1｜20〕	ἐκ
000346	〔40｜1｜20〕	Πνεύματός
000347	〔40｜1｜20〕	ἐστιν
000348	〔40｜1｜20〕	Ἁγίου
000349	〔40｜1｜21〕	τέξεται
000350	〔40｜1｜21〕	δὲ
000351	〔40｜1｜21〕	υἱὸν
000352	〔40｜1｜21〕	καὶ
000353	〔40｜1｜21〕	καλέσεις
000354	〔40｜1｜21〕	τὸ
000355	〔40｜1｜21〕	ὄνομα
000356	〔40｜1｜21〕	αὐτοῦ
000357	〔40｜1｜21〕	Ἰησοῦν
000358	〔40｜1｜21〕	αὐτὸς
000359	〔40｜1｜21〕	γὰρ
000360	〔40｜1｜21〕	σώσει
000361	〔40｜1｜21〕	τὸν
000362	〔40｜1｜21〕	λαὸν
000363	〔40｜1｜21〕	αὐτοῦ
000364	〔40｜1｜21〕	ἀπὸ
000365	〔40｜1｜21〕	τῶν
000366	〔40｜1｜21〕	ἁμαρτιῶν
000367	〔40｜1｜21〕	αὐτῶν
000368	〔40｜1｜22〕	Τοῦτο
000369	〔40｜1｜22〕	δὲ
000370	〔40｜1｜22〕	ὅλον
000371	〔40｜1｜22〕	γέγονεν
000372	〔40｜1｜22〕	ἵνα
000373	〔40｜1｜22〕	πληρωθῇ
000374	〔40｜1｜22〕	τὸ
000375	〔40｜1｜22〕	ῥηθὲν
000376	〔40｜1｜22〕	ὑπὸ
000377	〔40｜1｜22〕	Κυρίου
000378	〔40｜1｜22〕	διὰ
000379	〔40｜1｜22〕	τοῦ
000380	〔40｜1｜22〕	προφήτου
000381	〔40｜1｜22〕	λέγοντος
000382	〔40｜1｜23〕	Ἰδοὺ
000383	〔40｜1｜23〕	ἡ
000384	〔40｜1｜23〕	παρθένος
000385	〔40｜1｜23〕	ἐν
000386	〔40｜1｜23〕	γαστρὶ
000387	〔40｜1｜23〕	ἕξει
000388	〔40｜1｜23〕	καὶ
000389	〔40｜1｜23〕	τέξεται
000390	〔40｜1｜23〕	υἱόν
000391	〔40｜1｜23〕	καὶ
000392	〔40｜1｜23〕	καλέσουσιν
000393	〔40｜1｜23〕	τὸ
000394	〔40｜1｜23〕	ὄνομα
000395	〔40｜1｜23〕	αὐτοῦ
000396	〔40｜1｜23〕	Ἐμμανουήλ
000397	〔40｜1｜23〕	ὅ
000398	〔40｜1｜23〕	ἐστιν
000399	〔40｜1｜23〕	μεθερμηνευόμενον
000400	〔40｜1｜23〕	Μεθ᾽
000401	〔40｜1｜23〕	ἡμῶν
000402	〔40｜1｜23〕	ὁ
000403	〔40｜1｜23〕	Θεός
000404	〔40｜1｜24〕	Ἐγερθεὶς
000405	〔40｜1｜24〕	δὲ
000406	〔40｜1｜24〕	ὁ
000407	〔40｜1｜24〕	Ἰωσὴφ
000408	〔40｜1｜24〕	ἀπὸ
000409	〔40｜1｜24〕	τοῦ
