OGNTsort	extendedStrNo	RMAC	description
000269	G3350	N-GSF	『N-GSF』
000270	G897	N-GSF-L	『N-GSF-L』
000271	G2193	PREP	『PREP』
000272	G3588	T-GSM	『T-GSM』
000273	G5547	N-GSM-T	『N-GSM-T』
000274	G1074	N-NPF	『N-NPF』
000275	G1180	A-NPF	『A-NPF』
000276	G3588	T-GSM	『T-GSM』
000277	G1161	CONJ	『CONJ』
000278	G2424	N-GSM-P	『N-GSM-P』
000279	G5547	N-GSM-T	『N-GSM-T』
000280	G3588	T-NSF	『T-NSF』
000281	G1078	N-NSF	『N-NSF』
000282	G3779	ADV	『ADV』
000283	G1510	V-IAI-3S	『V-IAI-3S』
000284	G3423	V-APP-GSF	『V-APP-GSF』
000285	G3588	T-GSF	『T-GSF』
000286	G3384	N-GSF	『N-GSF』
000287	G846	P-GSM	『P-GSM』
000288	G3137	N-GSF-P	『N-GSF-P』
000289	G3588	T-DSM	『T-DSM』
000290	G2501	N-DSM-P	『N-DSM-P』
000291	G4250	ADV	『ADV』
000292	G2228	CONJ	『CONJ』
000293	G4905	V-2AAN	『V-2AAN』
000294	G846	P-APM	『P-APM』
000295	G2147	V-API-3S	『V-API-3S』
000296	G1722	PREP	『PREP』
000297	G1064	N-DSF	『N-DSF』
000298	G2192	V-PAP-NSF	『V-PAP-NSF』
000299	G1537	PREP	『PREP』
000300	G4151	N-GSN	『N-GSN』
000301	G40	A-GSN	『A-GSN』
000302	G2501	N-NSM-P	『N-NSM-P』
000303	G1161	CONJ	『CONJ』
000304	G3588	T-NSM	『T-NSM』
000305	G435	N-NSM	『N-NSM』
000306	G846	P-GSF	『P-GSF』
000307	G1342	A-NSM	『A-NSM』
000308	G1510	V-PAP-NSM	『V-PAP-NSM』
000309	G2532	CONJ	『CONJ』
000310	G3361	PRT-N	『PRT-N』
000311	G2309	V-PAP-NSM	『V-PAP-NSM』
000312	G846	P-ASF	『P-ASF』
000313	G1165	V-AAN	『V-AAN』
000314	G1014	V-AOI-3S	『V-AOI-3S』
000315	G2977	ADV	『ADV』
000316	G630	V-AAN	『V-AAN』
000317	G846	P-ASF	『P-ASF』
000318	G3778	D-APN	『D-APN』
000319	G1161	CONJ	『CONJ』
000320	G846	P-GSM	『P-GSM』
000321	G1760	V-AOP-GSM	『V-AOP-GSM』
000322	G2400	INJ	『INJ』
000323	G32	N-NSM	『N-NSM』
000324	G2962	N-GSM	『N-GSM』
000325	G2596	PREP	『PREP』
000326	G3677	N-ASN	『N-ASN』
000327	G5316	V-2API-3S	『V-2API-3S』
000328	G846	P-DSM	『P-DSM』
000329	G3004	V-PAP-NSM	『V-PAP-NSM』
000330	G2501	N-VSM-P	『N-VSM-P』
000331	G5207	N-NSM	『N-NSM』
000332	G1138	N-GSM-P	『N-GSM-P』
000333	G3361	PRT-N	『PRT-N』
000334	G5399	V-AOS-2S	『V-AOS-2S』
000335	G3880	V-2AAN	『V-2AAN』
000336	G3137	N-ASF-P	『N-ASF-P』
000337	G3588	T-ASF	『T-ASF』
000338	G1135	N-ASF	『N-ASF』
000339	G4771	P-2GS	『P-2GS』
000340	G3588	T-NSN	『T-NSN』
000341	G1063	CONJ	『CONJ』
000342	G1722	PREP	『PREP』
000343	G846	P-DSF	『P-DSF』
000344	G1080	V-APP-NSN	『V-APP-NSN』
000345	G1537	PREP	『PREP』
000346	G4151	N-GSN	『N-GSN』
000347	G1510	V-PAI-3S	『V-PAI-3S』
000348	G40	A-GSN	『A-GSN』
000349	G5088	V-FDI-3S	『V-FDI-3S』
000350	G1161	CONJ	『CONJ』
000351	G5207	N-ASM	『N-ASM』
000352	G2532	CONJ	『CONJ』
000353	G2564	V-FAI-2S	『V-FAI-2S』
000354	G3588	T-ASN	『T-ASN』
000355	G3686	N-ASN	『N-ASN』
000356	G846	P-GSM	『P-GSM』
000357	G2424	N-ASM-P	『N-ASM-P』
000358	G846	P-NSM	『P-NSM』
000359	G1063	CONJ	『CONJ』
000360	G4982	V-FAI-3S	『V-FAI-3S』
000361	G3588	T-ASM	『T-ASM』
000362	G2992	N-ASM	『N-ASM』
000363	G846	P-GSM	『P-GSM』
000364	G575	PREP	『PREP』
000365	G3588	T-GPF	『T-GPF』
000366	G266	N-GPF	『N-GPF』
000367	G846	P-GPM	『P-GPM』
000368	G3778	D-NSN	『D-NSN』
000369	G1161	CONJ	『CONJ』
000370	G3650	A-NSN	『A-NSN』
000371	G1096	V-2RAI-3S	『V-2RAI-3S』
000372	G2443	CONJ	『CONJ』
000373	G4137	V-APS-3S	『V-APS-3S』
000374	G3588	T-NSN	『T-NSN』
000375	G2036	V-APP-NSN	『V-APP-NSN』
000376	G5259	PREP	『PREP』
000377	G2962	N-GSM	『N-GSM』
000378	G1223	PREP	『PREP』
000379	G3588	T-GSM	『T-GSM』
000380	G4396	N-GSM	『N-GSM』
000381	G3004	V-PAP-GSM	『V-PAP-GSM』
000382	G2400	INJ	『INJ』
000383	G3588	T-NSF	『T-NSF』
000384	G3933	N-NSF	『N-NSF』
000385	G1722	PREP	『PREP』
000386	G1064	N-DSF	『N-DSF』
000387	G2192	V-FAI-3S	『V-FAI-3S』
000388	G2532	CONJ	『CONJ』
000389	G5088	V-FDI-3S	『V-FDI-3S』
000390	G5207	N-ASM	『N-ASM』
000391	G2532	CONJ	『CONJ』
000392	G2564	V-FAI-3P	『V-FAI-3P』
000393	G3588	T-ASN	『T-ASN』
000394	G3686	N-ASN	『N-ASN』
000395	G846	P-GSM	『P-GSM』
000396	G1694	N-ASM-T	『N-ASM-T』
000397	G3739	R-NSN	『R-NSN』
000398	G1510	V-PAI-3S	『V-PAI-3S』
000399	G3177	V-PPP-NSN	『V-PPP-NSN』
000400	G3326	PREP	『PREP』
000401	G1473	P-1GP	『P-1GP』
000402	G3588	T-NSM	『T-NSM』
000403	G2316	N-NSM	『N-NSM』
000404	G1453	V-APP-NSM	『V-APP-NSM』
000405	G1161	CONJ	『CONJ』
000406	G3588	T-NSM	『T-NSM』
000407	G2501	N-NSM-P	『N-NSM-P』
000408	G575	PREP	『PREP』
000409	G3588	T-GSM	『T-GSM』
000410	G5258	N-GSM	『N-GSM』
000411	G4160	V-AAI-3S	『V-AAI-3S』
000412	G5613	CONJ	『CONJ』
000413	G4367	V-AAI-3S	『V-AAI-3S』
000414	G846	P-DSM	『P-DSM』
000415	G3588	T-NSM	『T-NSM』
000416	G32	N-NSM	『N-NSM』
000417	G2962	N-GSM	『N-GSM』
000418	G2532	CONJ	『CONJ』
000419	G3880	V-2AAI-3S	『V-2AAI-3S』
000420	G3588	T-ASF	『T-ASF』
000421	G1135	N-ASF	『N-ASF』
000422	G846	P-GSM	『P-GSM』
000423	G2532	CONJ	『CONJ』
000424	G3756	PRT-N	『PRT-N』
000425	G1097	V-IAI-3S	『V-IAI-3S』
000426	G846	P-ASF	『P-ASF』
000427	G2193	PREP	『PREP』
000428	G3739	R-GSM	『R-GSM』
000429	G5088	V-2AAI-3S	『V-2AAI-3S』
000430	G5207	N-ASM	『N-ASM』
000431	G2532	CONJ	『CONJ』
000432	G2564	V-AAI-3S	『V-AAI-3S』
000433	G3588	T-ASN	『T-ASN』
000434	G3686	N-ASN	『N-ASN』
000435	G846	P-GSM	『P-GSM』
000436	G2424	N-ASM-P	『N-ASM-P』
000437	G3588	T-GSM	『T-GSM』
000438	G1161	CONJ	『CONJ』
000439	G2424	N-GSM-P	『N-GSM-P』
000440	G1080	V-APP-GSM	『V-APP-GSM』
000441	G1722	PREP	『PREP』
000442	G965	N-DSF-L	『N-DSF-L』
000443	G3588	T-GSF	『T-GSF』
000444	G2449	N-GSF-L	『N-GSF-L』
000445	G1722	PREP	『PREP』
000446	G2250	N-DPF	『N-DPF』
000447	G2264	N-GSM-P	『N-GSM-P』
000448	G3588	T-GSM	『T-GSM』
000449	G935	N-GSM	『N-GSM』
000450	G2400	INJ	『INJ』
000451	G3097	N-NPM	『N-NPM』
000452	G575	PREP	『PREP』
000453	G395	N-GPF	『N-GPF』
000454	G3854	V-2ADI-3P	『V-2ADI-3P』
000455	G1519	PREP	『PREP』
000456	G2414	N-APN-L	『N-APN-L』
000457	G3004	V-PAP-NPM	『V-PAP-NPM』
000458	G4226	ADV-I	『ADV-I』
000459	G1510	V-PAI-3S	『V-PAI-3S』
000460	G3588	T-NSM	『T-NSM』
000461	G5088	V-APP-NSM	『V-APP-NSM』
000462	G935	N-NSM	『N-NSM』
000463	G3588	T-GPM	『T-GPM』
000464	G2453	A-GPM-PG	『A-GPM-PG』
000465	G1492	V-2AAI-1P	『V-2AAI-1P』
000466	G1063	CONJ	『CONJ』
000467	G846	P-GSM	『P-GSM』
000468	G3588	T-ASM	『T-ASM』
000469	G792	N-ASM	『N-ASM』
000470	G1722	PREP	『PREP』
000471	G3588	T-DSF	『T-DSF』
000472	G395	N-DSF	『N-DSF』
000473	G2532	CONJ	『CONJ』
000474	G2064	V-2AAI-1P	『V-2AAI-1P』
000475	G4352	V-AAN	『V-AAN』
000476	G846	P-DSM	『P-DSM』
000477	G191	V-AAP-NSM	『V-AAP-NSM』
000478	G1161	CONJ	『CONJ』
000479	G3588	T-NSM	『T-NSM』
000480	G935	N-NSM	『N-NSM』
000481	G2264	N-NSM-P	『N-NSM-P』
000482	G5015	V-API-3S	『V-API-3S』
000483	G2532	CONJ	『CONJ』
000484	G3956	A-NSF	『A-NSF』
000485	G2414	N-NSF-L	『N-NSF-L』
000486	G3326	PREP	『PREP』
000487	G846	P-GSM	『P-GSM』
000488	G2532	CONJ	『CONJ』
000489	G4863	V-2AAP-NSM	『V-2AAP-NSM』
000490	G3956	A-APM	『A-APM』
000491	G3588	T-APM	『T-APM』
000492	G749	N-APM	『N-APM』
000493	G2532	CONJ	『CONJ』
000494	G1122	N-APM	『N-APM』
